施打站代碼,施打站全稱,是否接受預約,施打站簡稱,施打站縣市,施打站行政區,施打站地址,施打站經度,施打站緯度,是否有預約網站供爬蟲,預約網址,是否接受電話預約,預約電話,爬蟲程式碼位置,資料抓取時間,爬蟲人,資料來源,開放預約時間,NOTE,Last Modified,Last Modified By
2337010029,彰化縣彰化市東區衛生所,,,彰化縣,彰化市,彰化縣彰化市香山里彰南路2段346巷31弄26號,120.5866,24.08185,,https://djuphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNqlZmYocja,,04-7381647,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337020016,彰化縣鹿港鎮衛生所,,,彰化縣,鹿港鎮,彰化縣鹿港鎮順興里復興路423號,120.4347,24.05870,,https://lugphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrmJSYocja,,04-7772309,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337030012,彰化縣和美鎮衛生所,,,彰化縣,和美鎮,彰化縣和美鎮和東里彰美路5段319號,120.4994,24.11082,,https://hemphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNqnJaYocja,,04-7062455,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337040018,彰化縣北斗鎮衛生所,,,彰化縣,北斗鎮,彰化縣北斗鎮光復里地政路406巷17號,120.5249,23.87514,,https://bedphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNtmJuYocja,,04-8882059,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337050014,彰化縣員林市衛生所,,,彰化縣,員林市,彰化縣員林市仁美里博愛路229號,120.5725,23.96209,,https://yliphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNqmpOYocja,,04-7060230,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337060010,彰化縣溪湖鎮衛生所,,,彰化縣,溪湖鎮,彰化縣溪湖鎮湖東里青雅路36號,120.4834,23.96596,,https://shuphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrm5OYocja#gsc.tab=0,,04-8815112,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337070016,彰化縣田中鎮衛生所,,,彰化縣,田中鎮,彰化縣田中鎮西路里斗中路一段222號,120.5805,23.86152,,https://tijphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNsm5WYocja,,04-8742053,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337080012,彰化縣二林鎮衛生所,,,彰化縣,二林鎮,彰化縣二林鎮中正路1號1樓,120.3695,23.89931,,https://erlphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNtmJiYocja,,04-8960035,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337090018,彰化縣線西鄉衛生所,,,彰化縣,線西鄉,彰化縣線西鄉寓埔村和線路957巷2號,120.4704,24.13038,,https://ssiphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrlpKYocja,,04-7585201,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337100019,彰化縣伸港鄉衛生所,,,彰化縣,伸港鄉,彰化縣伸港鄉大同村中興路2段197號,120.4856,24.15926,,https://sgaphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNsmpKYocja,,04-7982034,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337110015,彰化縣福興鄉衛生所,,,彰化縣,福興鄉,彰化縣福興鄉福興村福興路51巷2號,120.4279,24.04744,,https://fusphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNqnJiYocja,,04-7772371,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337120020,彰化縣秀水鄉衛生所,,,彰化縣,秀水鄉,彰化縣秀水鄉安東村中山路288號,120.5033,24.03534,,https://sisphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrlpKYocja,,04-7693001,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337130017,彰化縣花壇鄉衛生所,,,彰化縣,花壇鄉,彰化縣花壇鄉長沙村中正路11號,120.5487,24.02815,,https://hutphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrmJOYocja,,04-7862035,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337140013,彰化縣芬園鄉衛生所,,,彰化縣,芬園鄉,彰化縣芬園鄉社口村公園1街11號,120.6281,24.01278,,https://fyuphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNym8GnmNo%3D,,(049) 252-2904,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337150019,彰化縣大村鄉衛生所,,,彰化縣,大村鄉,彰化縣大村鄉大村村中正西路340號,120.5470,23.99354,,https://datphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNqm5mYocja,,04-8520513,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337160015,彰化縣埔鹽鄉衛生所,,,彰化縣,埔鹽鄉,彰化縣埔鹽鄉好修村員鹿路二段58號,120.4633,24.00035,,https://puyphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrnpqYocja,,04-8653596,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337170011,彰化縣埔心鄉衛生所,,,彰化縣,埔心鄉,彰化縣埔心鄉義民村員鹿路2段340號,120.5439,23.95299,,https://pusphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNsmpOYocja,,04-8294611,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337180017,彰化縣永靖鄉衛生所,,,彰化縣,永靖鄉,彰化縣永靖鄉永西村西興路91號,120.5477,23.92504,,https://yugphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrlpSYocja,,04-8221057,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337190013,彰化縣社頭鄉衛生所,,,彰化縣,社頭鄉,彰化縣社頭鄉社頭村員集路二段409號,120.5861,23.90191,,https://stophc.chshb.gov.tw/newsin.php?c=npncp5bKnqNslpiYocja,,04-8732038,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337200014,彰化縣二水鄉衛生所,,,彰化縣,二水鄉,彰化縣二水鄉二水村過圳路19號,120.6155,23.81181,,https://ersphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrmJuYocja,,04-8791077,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337210010,彰化縣田尾鄉衛生所,,,彰化縣,田尾鄉,彰化縣田尾鄉饒平村光復路2段608號,120.5329,23.88999,,https://tiwphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrlpmYocja,,04-8832145,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337220016,彰化縣埤頭鄉衛生所,,,彰化縣,埤頭鄉,彰化縣埤頭鄉合興村健安街119號,120.4573,23.89490,,https://btophc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrlpaYocja,,04-8922445,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337230012,彰化縣芳苑鄉衛生所,,,彰化縣,芳苑鄉,彰化縣芳苑鄉仁愛村斗苑路芳苑段249、251號1樓,120.3204,23.92498,,https://fayphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrlpKYocja,,04-8983134,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337240018,彰化縣大城鄉衛生所,,,彰化縣,大城鄉,彰化縣大城鄉大城村中平路126號,120.3207,23.85331,,https://dacphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNqnZiYocja,,04-8941323,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337250014,彰化縣竹塘鄉衛生所,,,彰化縣,竹塘鄉,彰化縣竹塘鄉元竹村東陽路一段58之1號,120.4281,23.86054,,https://jutphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrlpOYocja,,04-8972009,,,,,,,2021年7月1日 12:23中午,Sean Gau
2337260010,彰化縣溪州鄉衛生所,,,彰化縣,溪州鄉,彰化縣溪州鄉尾厝村溪下路570號,120.4984,23.85134,,https://shjphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrnZuYocja,,04-8895023,,,,,,,2021年7月1日 12:23中午,Sean Gau
0138010027,衛生福利部南投醫院,,,南投縣,南投市,南投縣南投市康壽里復興路478號,120.6853,23.91409,,https://netreg01.nant.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0219&Date=&Noon=,,(049) 223-1150,,,,,,,2021年7月1日 12:23中午,Sean Gau
0638020014,臺中榮民總醫院埔里分院,,,南投縣,埔里鎮,南投縣埔里鎮蜈蚣里榮光路1號,120.9968,23.97580,,http://covid-19.pulivh.gov.tw/OutSite/COVID19/COVID19Res.aspx,,(049) 299-0833,,,,,,,2021年7月1日 12:23中午,Sean Gau
0938030016,佑民醫療社團法人佑民醫院,,,南投縣,草屯鎮,南投縣草屯鎮太平路一段200號,120.6819,23.96054,,http://web.yumin.com.tw/OReg/OpoDoctorsVisitListPage?sectcategory=NONE&sectid=1101&sectname=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%E7%96%AB%E8%8B%97%E6%B3%A8%E5%B0%84%E7%89%B9%E5%88%A5%E9%96%80%E8%A8%BA&showcd=N,,(049) 235-8151,,,,,,,2021年7月1日 12:23中午,Sean Gau
1138010019,彰化基督教醫療財團法人南投基督教醫院,,,南投縣,南投市,南投縣南投市中興路870號,120.6839,23.89883,,https://ny.cch.org.tw/nyrg/opd/service-e.aspx?id=7700&Page=11&#p,,(049) 222-5595,,,,,,,2021年7月1日 12:23中午,Sean Gau
1138020015,埔基醫療財團法人埔里基督教醫院,,,南投縣,埔里鎮,南投縣埔里鎮愛蘭里鐵山路1號,120.9468,23.97093,,http://web2.pch.org.tw/Booking/Covid19Reg/Covid19Reg.aspx,,(049) 291-2151,,,,,,,2021年7月1日 12:23中午,Sean Gau
1538041101,竹山秀傳醫院,,,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路2段75號,120.7141,23.80015,,http://www.csshow.org.tw/covid19res/,,(049) 262-4266,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338010014,南投縣南投市衛生所,,,南投縣,南投市,南投縣南投市三和里三和一路13號,120.6888,23.90251,,https://docs.google.com/forms/d/e/1FAIpQLSchMQzk77gl8fGhnq9YVLCnz3wUxWFhnXYbCGAqrJxjaapb4g/viewform,,(049) 222-3264,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338020010,南投縣埔里鎮衛生所,,,南投縣,埔里鎮,南投縣埔里鎮中山路二段256號,120.9686,23.96704,,https://docs.google.com/forms/d/e/1FAIpQLSfq_BXZk_5ZgfbMbXEN_6IvUdiXUkUsp9ZmA2Ag1vXW8b-bSQ/viewform,,(049) 298-2157,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338030016,南投縣草屯鎮衛生所,,,南投縣,草屯鎮,南投縣草屯鎮草溪路882巷7號,120.6807,23.97327,,https://docs.google.com/forms/d/e/1FAIpQLSeL1I4rBrp969irac-Ibv5ekQAvyJqZtMqt81309dDi-PCheg/viewform,,(049) 236-2023,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338040012,南投縣竹山鎮衛生所,,,南投縣,竹山鎮,南投縣竹山鎮公所路126號,120.6723,23.75944,,https://docs.google.com/forms/d/e/1FAIpQLScZmTchjpVpNUMplpKFyyEGUC_a1N2hFb3b1zvp80HYLpBu4Q/viewform,,(049) 264-2026,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338050018,南投縣集集鎮衛生所,,,南投縣,集集鎮,南投縣集集鎮民生路106號,120.7866,23.82890,,https://docs.google.com/forms/d/e/1FAIpQLSdDrSFk54dHb_59YpvgniYiAsi1GpsgtNJjiPjjrqk8qAizxw/viewform,,(049) 276-2015,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338060014,南投縣名間鄉衛生所,,,南投縣,名間鄉,南投縣名間鄉中正村彰南路42號,120.7029,23.83852,,https://docs.google.com/forms/d/e/1FAIpQLScmunbibh1EPZBh2c-T_tIrW5Qqc7lbk3cBUrCIok4c0MeQ4Q/viewform,,(049) 273-2135,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338070010,南投縣鹿谷鄉衛生所,,,南投縣,鹿谷鄉,南投縣鹿谷鄉中正路二段20號,120.7542,23.74488,,https://docs.google.com/forms/d/e/1FAIpQLScdHBdFx2-ftwo8H9HvdtYlVJFBqwiNgi9DGQNsdClcfBsFAA/viewform,,(049) 275-2002,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338080016,南投縣中寮鄉衛生所,,,南投縣,中寮鄉,南投縣中寮鄉永平村永昌街102號,120.7657,23.88100,,https://docs.google.com/forms/d/e/1FAIpQLSfYVBhsTDbljYolEpxv_qJoe5RH7XAI-riwuWGlx0F0gQezUg/viewform,,(049) 269-1404,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338090012,南投縣魚池鄉衛生所,,,南投縣,魚池鄉,南投縣魚池鄉東池村魚池街194號,120.9413,23.89552,,https://docs.google.com/forms/d/1DkaEX45rXb4yZEPIUuLCyo5cARuJi1d1DFKK0gFiWI4/edit,,(049) 289-5513,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338100013,南投縣國姓鄉衛生所,,,南投縣,國姓鄉,南投縣國姓鄉國姓村民族街42號,120.8547,24.03788,,https://docs.google.com/forms/d/e/1FAIpQLSfGdIBLebuAKP6Yv7TQVjBXOwOYTacG-PHd9z_CQq9h-xW1LQ/viewform,,(049) 272-1009,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338110019,南投縣水里鄉衛生所,,,南投縣,水里鄉,南投縣水里鄉博愛路205號,120.8490,23.81050,,https://docs.google.com/forms/d/e/1FAIpQLSeHwxYGksD3ME7JPTVBbKaTa_iRK87sH1A94vpSwfHCHwNOMw/viewform?OCID=MY01SV&form=MY01SV,,(049) 277-0079,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338120015,南投縣信義鄉衛生所,,,南投縣,信義鄉,南投縣信義鄉明德村玉山路45號,120.8547,23.69653,,https://docs.google.com/forms/d/e/1FAIpQLSfLYeJgWryjotYvGGx8mS7Fr6aEp-fVW5f6hZHqL1KhqpC0dg/viewform,,(049) 279-1148,,,,,,,2021年7月1日 12:23中午,Sean Gau
2338130011,南投縣仁愛鄉衛生所,,,南投縣,仁愛鄉,南投縣仁愛鄉大同村五福巷17號,121.1343,24.02430,,https://docs.google.com/forms/d/e/1FAIpQLScAUx8aqEP8BWQS82DrTQCKlsakvC57-5n4233V8HTbDUYz0w/viewform,,(049) 280-2341,,,,,,,2021年7月1日 12:23中午,Sean Gau
0439010518,國立臺灣大學附設醫院雲林分院,,,雲林縣,斗六市,雲林縣斗六市雲林路二段579號,120.5259,23.69766,,https://web.ylh.gov.tw/covid-19/,,05-5323911,,,,,,,2021年7月1日 12:11中午,Sean Gau
0439010527,國立成功大學醫學院附設醫院斗六分院,,,雲林縣,斗六市,雲林縣斗六市莊敬路345號,120.5456,23.70313,,https://d6www.hosp.ncku.edu.tw/WebRegisterSite/MainUI.aspx?Lang=&skv=EzNec8%2bb3ObBGuEQakq0QawPuiWkTewUO9FjEuW3Njo%3d,,05-5332121,,,,,,,2021年7月1日 12:23中午,Sean Gau
1139030015,天主教若瑟醫療財團法人若瑟醫院,,,雲林縣,虎尾鎮,雲林縣虎尾鎮新生路74號,120.4379,23.70821,,http://www.stjoho.org.tw/www2012/news.aspx?newsno=20067,,05-6337333,,,,,,,2021年7月1日 12:23中午,Sean Gau
1139040011,彰化基督教醫療財團法人雲林基督教醫院,,,雲林縣,西螺鎮,雲林縣西螺鎮新豐里市場南路371、375號,120.4413,23.78024,,https://web2yl.cch.org.tw/TIrg/opd/service-e.aspx?id=7800&Page=11&#p,,05-5871111,,,,,,,2021年7月1日 12:23中午,Sean Gau
1139130010,長庚醫療財團法人雲林長庚紀念醫院,,,雲林縣,麥寮鄉,雲林縣麥寮鄉中興村工業路1500號,120.2183,23.79518,,https://register.cgmh.org.tw/Department/M/M0990D,,05-6915151,,,,,,,2021年7月1日 12:23中午,Sean Gau
1339060017,中國醫藥大學北港附設醫院,,,雲林縣,北港鎮,雲林縣北港鎮新街里新德路123號,120.3078,23.59176,,http://www.bh.cmu.edu.tw/cgi-bin/bh/reg51.cgi?DocNo=D9999&sstus=3,,05-7837901,,,,,,,2021年7月1日 12:23中午,Sean Gau
2339050012,雲林縣土庫鎮衛生所,,,雲林縣,土庫鎮,雲林縣土庫鎮忠正里中山路254號,120.3927,23.67834,無，要人工查,,,05-6622638,,,,,,,2021年7月1日 12:23中午,Sean Gau
2339120019,雲林縣崙背鄉衛生所,,,雲林縣,崙背鄉,雲林縣崙背鄉南陽村南光路34號,120.3531,23.75981,無，要人工查,,,05-6962009,,,,,,,2021年7月1日 12:23中午,Sean Gau
2339180015,雲林縣四湖鄉衛生所,,,雲林縣,四湖鄉,雲林縣四湖鄉施湖村中山西路118號,120.2217,23.63784,無，要人工查,,,05-7872890,,,,,,,2021年7月1日 12:23中午,Sean Gau
0439010518,國立臺灣大學醫學院附設醫院雲林分院(虎尾院區),,,雲林縣,虎尾鎮,雲林縣虎尾鎮學府路95號,120.4248,23.73503,,https://web.ylh.gov.tw/covid-19/,,(05)633-0002,,,,,,,2021年7月1日 12:30下午,Sean Gau
0122020517,衛生福利部嘉義醫院,,,嘉義市,西區,嘉義市西區福全里北港路312號,120.4308,23.47985,,https://chyiwww001.chyi.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0227&Date=&Noon=,,05-2319090,,,,,,,2021年7月1日 12:23中午,Sean Gau
0622020017,臺中榮民總醫院嘉義分院,,,嘉義市,西區,嘉義市西區劉厝里世賢路2段600號,120.4230,23.46755,,http://61.60.38.27/COVID19/FormMain.aspx,,05-2359630,,,,,,,2021年7月1日 12:23中午,Sean Gau
1122010012,戴德森醫療財團法人嘉義基督教醫院,,,嘉義市,東區,嘉義市東區中庄里忠孝路539號、642號、保健街100號,120.4501,23.49940,,https://www2.cych.org.tw/WebToNewRegister/opdregister2.aspx,,05-2765041,,,,,,,2021年7月1日 12:23中午,Sean Gau
1122010021,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,,,嘉義市,東區,嘉義市東區大雅路二段565號,120.4671,23.47568,,https://flw.stm.org.tw/reg/Home/DrChoose?deptGrouptID=CO&ran=f,,05-2756000,,,,,,,2021年6月26日 5:50下午,Terry Wang
2322010017,嘉義市東區衛生所,,,嘉義市,東區,嘉義市東區大雅路二段625號,120.4663,23.47685,無，要人工查,,,05-2750423,,,,,,,2021年7月1日 12:23中午,Sean Gau
2322020013,嘉義市西區衛生所,,,嘉義市,西區,嘉義市西區德明路1號,120.4312,23.47995,無，要人工查,,,05-2337355,,,,,,,2021年7月1日 12:23中午,Sean Gau
0140010028,衛生福利部朴子醫院,,,嘉義縣,朴子市,嘉義縣朴子市永和里42－50號,120.2346,23.46443,,https://netreg.puzih.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0208&Date=&Noon=,,05-3790600,,,,,,,2021年7月1日 12:23中午,Sean Gau
0640140012,臺中榮民總醫院灣橋分院,,,嘉義縣,竹崎鄉,嘉義縣竹崎鄉灣橋村石麻園38號,120.5064,23.48778,,http://61.60.38.27/COVID19_WC/FormMain.aspx?WebMenuID=58f47136-25ae-47c0-856b-9e8f1ee1c429,,05-2791072,,,,,,,2021年7月1日 12:23中午,Sean Gau
1140010510,長庚醫療財團法人嘉義長庚紀念醫院,,,嘉義縣,朴子市,嘉義縣朴子市仁和里長庚一路6號及嘉朴路西段8號,120.2840,23.46481,,https://register.cgmh.org.tw/Department/6/60990D,,05-3621000,,,,,,,2021年7月1日 12:23中午,Sean Gau
1140030012,佛教慈濟醫療財團法人大林慈濟醫院,,,嘉義縣,大林鎮,嘉義縣大林鎮平林里民生路2號,120.4574,23.59631,,http://dl99.tzuchi-healthcare.org.tw/tchw/covidvac/,,05-2648000,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340020011,嘉義縣布袋鎮衛生所,,,嘉義縣,布袋鎮,嘉義縣布袋鎮新厝里21號,120.1699,23.38144,無，要人工查,,,05-3472032,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340030017,嘉義縣大林鎮衛生所,,,嘉義縣,大林鎮,嘉義縣大林鎮平林里中山路252號,120.4557,23.60678,無，要人工查,,,05-2652042,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340040013,嘉義縣民雄鄉衛生所,,,嘉義縣,民雄鄉,嘉義縣民雄鄉中樂村文化路7之2號,120.4280,23.55145,無，要人工查,,,05-2262018,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340050019,嘉義縣溪口鄉衛生所,,,嘉義縣,溪口鄉,嘉義縣溪口鄉溪北村二鄰中山路1號,120.3949,23.60641,無，要人工查,,,05-2691046,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340060015,嘉義縣新港鄉衛生所,,,嘉義縣,新港鄉,嘉義縣新港鄉宮前村中山路167號,120.3477,23.55235,無，要人工查,,,05-3742025,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340070011,嘉義縣六腳鄉衛生所,,,嘉義縣,六腳鄉,嘉義縣六腳鄉蒜頭村15鄰蒜頭73－1號,120.2905,23.49289,無，要人工查,,,05-3802016,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340080017,嘉義縣東石鄉衛生所,,,嘉義縣,東石鄉,嘉義縣東石鄉東石村3之7號,120.1541,23.45926,無，要人工查,,,05-3732340,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340090013,嘉義縣義竹鄉衛生所,,,嘉義縣,義竹鄉,嘉義縣義竹鄉仁里村義竹422－1號,120.2430,23.33719,無，要人工查,,,05-3412032,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340110010,嘉義縣太保市衛生所,,,嘉義縣,太保市,嘉義縣太保市後潭里443號,120.3395,23.45298,無，要人工查,,,05-3711273,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340120016,嘉義縣水上鄉衛生所,,,嘉義縣,水上鄉,嘉義縣水上鄉水上村正義路145號,120.3977,23.42826,無，要人工查,,,05-2682059,,,,,,,2021年7月1日 12:23中午,Sean Gau
2340130012,嘉義縣中埔鄉衛生所,,,嘉義縣,中埔鄉,嘉義縣中埔鄉中埔村中埔130號之1,120.5227,23.42559,無，要人工查,,,05-2531008,,,,,,,2021年7月1日 12:38下午,Sean Gau
2340150014,嘉義縣梅山鄉衛生所,,,嘉義縣,梅山鄉,嘉義縣梅山鄉華山路18號,120.5555,23.58640,無，要人工查,,,05-2621249,,,,,,,2021年7月1日 12:38下午,Sean Gau
2340160010,嘉義縣番路鄉衛生所,,,嘉義縣,番路鄉,嘉義縣番路鄉下坑村菜公店60號,120.5538,23.46319,無，要人工查,,,05-2591148,,,,,,,2021年7月1日 12:38下午,Sean Gau
2340180012,嘉義縣阿里山鄉衛生所,,,嘉義縣,阿里山鄉,嘉義縣阿里山鄉樂野村3鄰97－2號,120.7019,23.46660,無，要人工查,電話,,05-2561573,,,,,,,2021年6月29日 11:18晚上,Terry Wang
2340180012,嘉義縣阿里山鄉衛生所香林衛生室,,,嘉義縣,阿里山鄉,嘉義縣阿里山鄉樂野村3鄰97－2號,120.7019,23.46660,無，要人工查,,,05-2561573,,,,,,,2021年7月1日 12:38下午,Sean Gau
1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,,,臺南市,麻豆區,臺南市麻豆區小埤里苓子林20號,120.2330,23.17987,,http://class.sinlau.org.tw/mode02.asp?m=202104100907442&t=s&da=2,,06-5702228,,,,,,,2021年7月1日 12:23中午,Sean Gau
1105050012,奇美醫療財團法人佳里奇美醫院,,,臺南市,佳里區,臺南市佳里區佳興里佳里興606號,120.1837,23.18170,,http://www.chimei.org.tw/opdschedule/index.aspx?ihosp=14&lang=CH,,06-7263333,,,,,,,2021年7月1日 12:23中午,Sean Gau
1141090512,奇美醫療財團法人柳營奇美醫院,,,臺南市,柳營區,臺南市柳營區太康里201號,120.3247,23.28927,,http://www.chimei.org.tw/opdschedule/index.aspx?ihosp=13&lang=CH,,06-6226999,,,,,,,2021年7月1日 12:23中午,Sean Gau
1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,,,臺南市,安南區,臺南市安南區長和路二段66號,120.2232,23.06423,,http://www.tmanh.org.tw/Service/OnlineAppointment,,06-3553111,,,,,,,2021年7月1日 12:23中午,Sean Gau
2341060019,臺南市新化區衛生所,,,臺南市,新化區,臺南市新化區健康路十三鄰143號,120.3048,23.03440,,,,06-5905398,,,,,,,2021年7月1日 12:38下午,Sean Gau
2341080011,臺南市學甲區衛生所,,,臺南市,學甲區,臺南市學甲區仁得里建國路38號1樓,120.1819,23.23028,,,,06-7833359,,,,,,,2021年7月1日 12:38下午,Sean Gau
2341130016,臺南市六甲區衛生所,,,臺南市,六甲區,臺南市六甲區二甲里26鄰中華路110號,120.3469,23.22467,無，要人工查,,,06-6982013,,,,,,,2021年7月1日 12:38下午,Sean Gau
2341230011,臺南市玉井區衛生所,,,臺南市,玉井區,臺南市玉井區玉田里中正路5號,120.4591,23.12235,無，要人工查,,,06-5742275,,,,,,,2021年7月1日 12:38下午,Sean Gau
1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院,,,臺南市,東區,臺南市東區泉北里東門路1段57號,120.2128,22.98916,,http://class.sinlau.org.tw/mode02.asp?m=202104100907442&t=sub&da=1,,06-2748316,,,,,,,2021年7月1日 12:30下午,Sean Gau
1141310019,奇美醫療財團法人奇美醫院,,,臺南市,永康區,臺南市永康區中華路901號、臺南市南區樹林街二段442號,120.2329,23.01043,,http://www.chimei.org.tw/opdschedule/index.aspx?ihosp=10&lang=CH,,06-2812811,,,,,,,2021年7月1日 12:30下午,Sean Gau
0121050011,衛生福利部臺南醫院,,,臺南市,中西區,臺南市中西區中山路125號,120.2092,22.99582,,https://tnweb.tnhosp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0172&Date=&Noon=,,06-2200055,,,,,,,2021年7月1日 12:30下午,Sean Gau
0421040011,國立成功大學醫學院附設醫院,,,臺南市,北區,臺南市北區勝利路138號,120.2192,23.00221,,https://service.hosp.ncku.edu.tw/Tandem/MainUI.aspx?Lang=&skv=EzNec8%2bb3ObBGuEQakq0QawPuiWkTewUO9FjEuW3Njo%3d,,06-2353535,,,,,,,2021年7月1日 12:30下午,Sean Gau
0905320023,台南市立醫院(委託秀傳醫療社團法人經營),,,臺南市,東區,臺南市東區崇德路670號,120.2267,22.96853,,https://www.tmh.org.tw/TMH2016/RegCal.aspx?Dept=MM&Kind=2,,06-2609926,,,,,,,2021年7月1日 12:30下午,Sean Gau
2341280011,臺南市歸仁區衛生所,,,臺南市,歸仁區,臺南市歸仁區中正北路1段1號,120.2943,22.96745,,,,06-2304030,,,,,,,2021年7月1日 12:30下午,Sean Gau
1521031104,郭綜合醫院,,,臺南市,中西區,臺南市民生路二段18．20．22．23．24．25．27號,120.1965,22.99485,,http://www.kgh.com.tw/,,06-2221111,,,,,,,2021年7月1日 12:30下午,Sean Gau
0434010518,國立陽明交通大學附設醫院,,,宜蘭縣,宜蘭市,宜蘭縣宜蘭市校舍路169號、新民路152號,121.7580,24.75005,,https://www.ymuh.ym.edu.tw/tw/index/message/7604-covid-19%E7%96%AB%E8%8B%97%E6%8E%A5%E7%A8%AE%E6%B5%81%E7%A8%8B%E6%9A%A8%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85.html,,03-9325192,,,,,,,2021年7月1日 12:23中午,Sean Gau
1134010022,宜蘭仁愛醫療財團法人宜蘭仁愛醫院,,,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路2段260號,121.7544,24.74874,,http://www.jen-ai.org.tw/booking/Covid19Reg/Covid19Reg.aspx,,03-9321888,,,,,,,2021年7月1日 12:23中午,Sean Gau
